Index,X,Y,Facies,Porosity,Perm,AI
259,190,19,0,0.041121518,0.120861741,6367.442357
501,270,49,0,0.043853406,0.09462701,6906.176965
273,270,219,0,0.062169427,0.40877907,6244.965113
159,380,259,0,0.064295302,0.322764145,7113.679894
96,870,449,0,0.065536798,0.672005469,5672.957304
233,260,69,0,0.066231315,0.424679113,6885.78067
35,400,100,0,0.066615248,0.156519564,6026.595761
464,780,629,0,0.066702707,0.265882253,4713.977913
533,510,339,0,0.066969948,0.412301227,6518.084345
459,490,19,0,0.067606602,0.648172113,5297.559776
578,310,219,0,0.069584308,0.434025125,6949.553872
441,450,219,0,0.071233301,0.300429655,5442.438599
25,300,200,0,0.073275523,0.523248243,6969.149686
106,220,179,0,0.077398724,1.229555809,6279.195302
16,200,200,0,0.077418839,1.16264194,6844.535923
246,660,569,0,0.078110482,1.097681603,6053.0282
26,300,100,0,0.078502991,0.5396475,6266.168737
454,870,419,0,0.078563393,1.021986416,5950.254343
394,450,169,0,0.079363741,0.315652235,7132.799046
514,870,429,0,0.079387543,1.123563683,5794.963673
429,370,219,0,0.080087633,0.453977716,5950.050624
138,570,199,0,0.081031723,0.810565588,5691.423838
297,70,959,0,0.081094325,1.356098093,5552.875823
384,360,239,0,0.083478924,0.739744071,6371.355059
126,140,79,0,0.083512954,2.020531233,6623.691034
188,330,229,0,0.084250599,0.78211845,5721.001463
224,50,269,0,0.084510356,1.14140013,4445.115236
327,610,639,0,0.084573823,1.260644125,5021.659759
42,500,300,0,0.085487373,0.819331279,6232.488903
76,900,500,0,0.08631289,1.03171651,5628.516203
39,500,600,0,0.0872815,4.574283373,4990.461286
48,600,600,0,0.087709551,1.826600795,4815.685452
141,40,99,0,0.088570872,3.248844471,5761.147734
418,110,49,0,0.088686879,2.421278422,6658.973916
556,400,299,0,0.089227108,1.247316717,6115.214286
288,570,579,0,0.089293392,2.411068502,4453.078357
277,920,719,0,0.089571061,0.260590352,2796.643766
292,170,969,0,0.089943846,2.100467069,4319.592358
381,890,389,0,0.090579556,1.498347428,6055.016636
417,580,569,0,0.091086893,2.119379297,5090.954791
477,110,229,0,0.091247782,1.988192855,5239.936189
569,510,689,0,0.091304615,4.424498521,4932.347595
169,940,799,0,0.091960217,0.192133357,3838.28
439,240,239,0,0.091971368,2.720515911,5871.654072
205,710,649,0,0.092092903,0.56720895,4274.588082
299,610,519,0,0.092120348,2.369140206,6736.907321
105,90,959,0,0.092601262,2.090806589,5967.714481
195,950,829,0,0.093887363,0.262364908,3934.477063
275,820,389,0,0.093900203,2.427176462,5988.507261
391,570,279,0,0.094062358,2.186643147,5753.220214
227,240,79,0,0.094064496,2.479956696,6144.640275
226,510,29,0,0.094435879,2.98517411,5510.637975
287,10,799,0,0.094496604,0.641237584,5434.888849
537,180,149,0,0.094538248,2.882622053,6299.658001
134,260,159,0,0.094625951,1.890857364,7016.995987
530,560,189,0,0.094791782,1.517268571,5918.572431
510,780,369,0,0.095565588,3.207508111,5647.5695
323,680,689,0,0.095578163,0.620002047,4843.790237
315,740,559,0,0.095650835,3.109239305,5428.086105
114,900,699,0,0.096685957,0.375122643,3904.549469
207,570,659,0,0.096905786,4.32479168,5666.90464
338,80,339,1,0.097084665,1.157146528,5861.95275
56,700,700,0,0.098027886,0.614548162,4404.310927
412,500,579,0,0.098164359,6.59654569,5681.646332
248,420,59,0,0.098271847,0.83372478,6274.272578
397,540,509,0,0.098945108,4.197664211,6829.220654
400,790,329,0,0.099120026,2.306576923,5797.508801
545,810,529,0,0.099298248,4.521290494,5371.839798
40,500,500,0,0.099333021,7.116044098,6080.263353
538,870,819,0,0.099367501,0.400079138,3663.48805
414,940,629,0,0.099428371,0.503399849,4816.640314
250,930,879,0,0.099625219,0.404664714,3651.592522
419,90,39,0,0.099874776,4.108326482,6619.93103
147,970,509,0,0.099944327,2.74079619,6399.464496
505,330,319,0,0.100148862,4.667174979,5721.658842
359,930,609,0,0.100176846,0.773156638,5349.918434
326,620,389,0,0.10029647,7.578783981,6397.384419
453,530,599,0,0.100367212,6.621935135,5523.282412
562,930,909,0,0.100640412,0.605332174,4061.720049
310,700,609,0,0.100779978,1.648959501,5167.144171
370,210,259,0,0.10086437,3.320767742,6683.70174
161,190,309,0,0.101047045,1.815873161,5402.085094
335,320,329,0,0.101257609,4.761952967,5878.442606
0,100,900,0,0.101318882,1.996867748,5590.417154
145,800,759,0,0.10168415,0.492812323,4651.462661
244,710,789,1,0.102122677,0.653171214,4403.12396
541,940,949,0,0.102437385,0.95615236,4105.074357
518,620,259,0,0.102592652,3.197256461,5130.815152
265,460,469,0,0.102736784,10.84150335,4528.782651
83,910,914,0,0.103031185,0.738135506,4782.382545
149,920,969,0,0.103310727,1.039540619,3807.480283
571,770,699,0,0.10337043,0.472603106,5353.230785
209,760,709,0,0.103425876,0.472966348,5783.018259
378,570,369,0,0.103547564,3.934810723,6403.344087
553,40,899,0,0.103548309,1.752144334,5637.990438
43,500,200,0,0.103559125,1.646427647,7561.250336
469,280,159,0,0.104640167,2.250847806,6884.750503
165,720,169,1,0.105101018,2.902995361,4470.927142
531,830,559,0,0.10535223,3.970239052,4396.1913
427,650,259,0,0.10545331,4.020890104,5429.678201
68,800,400,0,0.10619372,5.651886044,5489.136977
560,810,659,0,0.106556816,1.123995384,3852.669561
236,290,909,1,0.106621624,18.28504281,4794.296936
358,830,729,0,0.107063708,0.589573252,3982.026576
312,70,269,0,0.107088471,3.364425244,4509.980687
540,100,359,1,0.107367584,1.842103411,5577.387475
74,900,700,0,0.10741279,0.556418213,3419.144314
38,500,700,0,0.107519958,10.45967682,5281.963763
465,420,429,0,0.107800783,19.39444288,4826.452982
92,920,894,0,0.108892482,0.749949349,3720.907955
488,890,919,0,0.109400996,1.335761552,3974.647324
561,520,729,1,0.109791916,11.13128992,5642.804784
504,790,289,1,0.109893505,3.208329661,5199.361824
82,900,914,0,0.110114863,1.266631058,4669.5452
50,600,400,0,0.110139911,9.560463243,5721.503654
450,540,129,0,0.110192485,3.69172446,6185.818764
279,870,919,1,0.110385986,1.415354967,3969.565896
266,180,359,0,0.110769219,2.269660416,4377.317804
448,680,269,1,0.110860266,5.710081714,5447.79451
353,880,769,0,0.111088241,0.463730924,3763.963644
58,700,500,0,0.111167183,14.59365206,6471.646823
97,60,299,0,0.111198073,2.762642318,5141.51159
413,980,769,0,0.111472943,0.873393014,3780.051117
52,600,200,0,0.111534526,4.269218898,5053.998024
239,670,629,0,0.112032881,1.798287102,5164.42382
212,880,589,0,0.112188584,2.054184566,5155.065252
388,710,529,0,0.112294322,13.01675845,6060.861075
28,400,800,1,0.112469217,23.96642474,3978.89377
280,620,379,0,0.112510505,13.17269763,6013.495722
390,500,659,0,0.112953773,12.72668244,5496.000633
160,650,539,0,0.113623247,8.442675382,5370.721763
471,630,369,0,0.114556284,15.81163707,6307.595813
66,800,600,0,0.114876228,3.455681462,4305.081342
116,700,239,0,0.115041279,4.268672258,5660.9994
426,500,649,0,0.115274523,15.58649053,4781.267733
241,340,379,1,0.115374478,12.31310038,5119.801819
431,680,739,0,0.115432344,1.829175474,5063.083539
420,90,399,1,0.116077694,2.685213915,4880.110978
428,680,429,1,0.116107365,22.70280678,6013.816976
117,520,69,0,0.116139071,6.818115638,5322.574426
47,600,700,1,0.116428107,4.525924491,5472.785278
452,860,889,1,0.116909714,1.446132608,3931.95457
570,30,379,1,0.116962458,2.874144762,3562.727498
183,510,749,1,0.117690333,18.21027108,5099.54185
559,790,19,0,0.117937141,1.529362298,4903.847057
447,220,899,1,0.11793932,15.84609423,4976.120878
366,710,799,1,0.11801194,1.241262123,4130.558123
306,610,189,0,0.118295304,6.52597194,5927.240472
61,700,200,0,0.118704721,5.34361948,4822.699607
